Entity Name	Entity type	Gene Symbol	Sources(; separated)	Level4	Level3	Level2	Model_Of_Inheritance	Phenotypes	Omim	Orphanet	HPO	Publications	Description	Flagged	GEL_Status	UserRatings_Green_amber_red	version	ready	Mode of pathogenicity	EnsemblId(GRch37)	EnsemblId(GRch38)	HGNC	Position Chromosome	Position GRCh37 Start	Position GRCh37 End	Position GRCh38 Start	Position GRCh38 End	STR Repeated Sequence	STR Normal Repeats	STR Pathogenic Repeats	Region Haploinsufficiency Score	Region Triplosensitivity Score	Region Required Overlap Percentage	Region Variant Type	Region Verbose Name
ATG7	gene	ATG7	Expert Review Green;Literature;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Spinocerebellar ataxia, autosomal recessive 31, OMIM:619422				34161705		False	3	100;0;0	8.3	False		ENSG00000197548	ENSG00000197548	HGNC:16935													
ATM	gene	ATM	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Ataxia-telangiectasia, OMIM:208900						False	3	0;0;0	8.3	False		ENSG00000149311	ENSG00000149311	HGNC:795													
ATP1A3	gene	ATP1A3	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Cerebellar ataxia, areflexia, pes cavus, optic atrophy and sensorineural hearing loss (CAPOS, #601338);Alternating hemiplegia of childhood 2 (#614820) and Dystonia 12 (#128235)						False	3	0;0;0	8.3	False		ENSG00000105409	ENSG00000105409	HGNC:801													
ATP2B3	gene	ATP2B3	Expert Review Green;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			X-LINKED: hemizygous mutation in males, biallelic mutations in females	?Spinocerebellar ataxia, X-linked 1, OMIM:302500				25953895;28807751;36207321		False	3	100;0;0	8.3	False		ENSG00000067842	ENSG00000067842	HGNC:816													
ATP6V0A1	gene	ATP6V0A1	Expert Review Green;Literature;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	ATP6V0A1-related developmental disorder (monoallelic)				30842224;33057194;34909687;33833240		False	3	75;25;0	8.3	False		ENSG00000033627	ENSG00000033627	HGNC:865													
ATP8A2	gene	ATP8A2	Expert Review Green;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	?Cerebellar ataxia, mental retardation, and dysequilibrium syndrome 4 OMIM:615268;cerebellar ataxia, mental retardation, and dysequilibrium syndrome 4 MONDO:0014104				22892528;29531481;30012219;31612321;27679995;20683487		False	3	100;0;0	8.3	False		ENSG00000132932	ENSG00000132932	HGNC:13533													
B3GALNT2	gene	B3GALNT2	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies typeA 11;congenital muscular dystrophies				23453667		False	3	0;0;0	8.3	False		ENSG00000162885	ENSG00000162885	HGNC:28596													
B4GAT1	gene	B4GAT1	Expert Review Green;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 13,  615287;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), typeA, 13, 615287				23359570;23877401;23217742		False	3	100;0;0	8.3	False		ENSG00000174684	ENSG00000174684	HGNC:15685													
BBS1	gene	BBS1	Expert list;Expert Review Green;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Bardet-Biedl syndrome 1 OMIM:209900;Bardet-Biedl syndrome 1 MONDO:0008854				15637713		False	3	100;0;0	8.3	False		ENSG00000174483	ENSG00000174483	HGNC:966													
CA8	gene	CA8	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Cerebellar ataxia and mental retardation with or without quadrupedal locomotion 3  613227;Cerebellar ataxia and mental retardation with or without quadrupedal locomotion 3				21885617		False	3	0;0;0	8.3	False		ENSG00000178538	ENSG00000178538	HGNC:1382													
CACNA1A	gene	CACNA1A	Expert Review Green;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BOTH monoallelic and biallelic, autosomal or pseudoautosomal	Developmental and epileptic encephalopathy 42, OMIM:617106;developmental and epileptic encephalopathy, 42, MONDO:0014917;Episodic ataxia, type 2, OMIM:108500;Migraine, familial hemiplegic, 1, with progressive cerebellar ataxia, OMIM:141500						False	3	0;0;0	8.3	False		ENSG00000141837	ENSG00000141837	HGNC:1388													
CACNA1G	gene	CACNA1G	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 42 616795				25558065;29878067;17397049;28726809		False	3	0;0;0	8.3	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000006283	ENSG00000006283	HGNC:1394													
CAD	gene	CAD	Expert Review Green;Literature;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Developmental and epileptic encephalopathy 50, OMIM:616457				25678555;28007989;32820246		False	3	100;0;0	8.3	False		ENSG00000084774	ENSG00000084774	HGNC:1424													
CAMTA1	gene	CAMTA1	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Cerebellarataxia, nonprogressive, with mental retardation, 614756						False	3	0;0;0	8.3	False		ENSG00000171735	ENSG00000171735	HGNC:18806													
CASK	gene	CASK	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)	FG syndrome 4, 300422;Mental retardation, with or without nystagmus;Mental retardation and microcephaly with pontine and cerebellar hypoplasia;Pontocerebellar Hypoplasia;FG syndrome 4;Mental retardation and microcephaly with pontine and cerebellar hypoplasia, 300749;Mental retardation, with or without nystagmus, 300422				21954287;20595373;32700313;33090494;33272775;35149592		False	3	0;0;0	8.3	False		ENSG00000147044	ENSG00000147044	HGNC:1497													
CHMP1A	gene	CHMP1A	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Pontocerebellar hypoplasia, type 8, 614961				23023333		False	3	0;0;0	8.3	False		ENSG00000131165	ENSG00000131165	HGNC:8740													
CLCN2	gene	CLCN2	Expert Review Green;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Leukoencephalopathy with ataxia, OMIM:615651				23707145;26539602;28473625;31291907		False	3	0;0;0	8.3	False		ENSG00000114859	ENSG00000114859	HGNC:2020													
CLN5	gene	CLN5	Expert list;Expert Review Green;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Ceroid lipofuscinosis, neuronal, 5 OMIM:256731;neuronal ceroid lipofuscinosis 5 MONDO:0009745				25359263		False	3	100;0;0	8.3	False		ENSG00000102805	ENSG00000102805	HGNC:2076													
CLN6	gene	CLN6	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Ceroid lipofuscinosis, neuronal, 6, 601780;Ceroid lipofuscinosis, neuronal, Kufs type, adult onset, 204300						False	3	0;0;0	8.3	False		ENSG00000128973	ENSG00000128973	HGNC:2077													
CLP1	gene	CLP1	Expert Review Green;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Pontocerebellar hypoplasia 10 OMIM:615803;Pontocerebellar hypoplasia type 10 MONDO:0014349				24766810;24766809;29307788		False	3	100;0;0	8.3	False		ENSG00000172409	ENSG00000172409	HGNC:16999													
COA7	gene	COA7	Expert list;Expert Review Green;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 3 OMIM:618387;spinocerebellar ataxia, autosomal recessive, with axonal neuropathy 3 MONDO:0020770				29718187;27683825;30885959		False	3	100;0;0	8.3	False		ENSG00000162377	ENSG00000162377	HGNC:25716													
COQ4	gene	COQ4	Expert Review Green;Literature;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Coenzyme Q10 deficiency, primary, 7, OMIM:616276				30225196;30847826;33215859;33704555;36047608		False	3	100;0;0	8.3	False		ENSG00000167113	ENSG00000167113	HGNC:19693													
COQ8A	gene	COQ8A	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Coenzyme Q10 deficiency, primary 4, 612016;Spinocerebellar Ataxia Type						False	3	0;0;0	8.3	False		ENSG00000163050	ENSG00000163050	HGNC:16812													
COX20	gene	COX20	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Mitochondrial complex IV deficiency, 220110						False	3	0;0;0	8.3	False		ENSG00000203667	ENSG00000203667	HGNC:26970													
CP	gene	CP	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Cerebellar ataxia, 604290;Hemosiderosis, systemic, due to aceruloplasminemia, 604290						False	3	0;0;0	8.3	False		ENSG00000047457	ENSG00000047457	HGNC:2295													
CSTB	gene	CSTB	Expert Review Green;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Epilepsy, progressive myoclonic 1A (Unverricht and Lundborg) OMIM:254800;Unverricht-Lundborg syndrome MONDO:0009698				8596935;15483648;9012407;9054946;9090386;11571333;9342192;15329070		False	3	100;0;0	8.3	False		ENSG00000160213	ENSG00000160213	HGNC:2482													
CTBP1	gene	CTBP1	Expert Review Green;Literature	Ataxia and cerebellar anomalies - narrow panel			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Hypotonia, ataxia, developmental delay, and tooth enamel defect syndrome, 617915				27094857;28955726;31041561		False	3	100;0;0	8.3	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000159692	ENSG00000159692	HGNC:2494													
CWF19L1	gene	CWF19L1	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Spinocerebellar ataxia, autosomal recessive 17,  616127				26197978, 25361784, 27016154		False	3	0;0;0	8.3	False		ENSG00000095485	ENSG00000095485	HGNC:25613													
CYP27A1	gene	CYP27A1	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Cerebrotendinous xanthomatosis, 213700						False	3	0;0;0	8.3	False		ENSG00000135929	ENSG00000135929	HGNC:2605													
DAGLA	gene	DAGLA	Expert Review Green;Literature;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Ataxia, HP:0001251				35737950		False	3	100;0;0	8.3	False	Loss-of-function variants (as defined in pop up message) DO NOT cause this phenotype - please provide details in the comments	ENSG00000134780	ENSG00000134780	HGNC:1165													
DARS2	gene	DARS2	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Leukoencephalopathy with brain stem and spinal cord involvement and lactate elevation, 611105						False	3	0;0;0	8.3	False		ENSG00000117593	ENSG00000117593	HGNC:25538													
DDHD2	gene	DDHD2	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Autosomal recessive paraplegia 54 (#615033). Complex form of disease   ataxia reported amongst the phenotypic features in Citterio et al. (2014), Journal of Neurology, 261, pp.373-381 and Doi et al. (2014), Scientific Reports, 4, 7132.						False	3	0;0;0	8.3	False		ENSG00000085788	ENSG00000085788	HGNC:29106													
DHDDS	gene	DHDDS	Expert Review Green;Literature;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Developmental delay and seizures with or without movement abnormalities, OMIM:617836				29100083;33798445;34182312;34382076		False	3	100;0;0	8.3	False		ENSG00000117682	ENSG00000117682	HGNC:20603													
DKC1	gene	DKC1	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			X-LINKED: hemizygous mutation in males, biallelic mutations in females	Dyskeratosis congenita, X-linked OMIM:305000;dyskeratosis congenita, X-linked MONDO:0010584				9590285;9886310;10921354;33734615;10583221;10700698;18627054;12437656		False	3	50;0;50	8.3	False		ENSG00000130826	ENSG00000130826	HGNC:2890													
DLG4	gene	DLG4	Expert Review Green;Literature;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Intellectual developmental disorder, autosomal dominant 62, OMIM:618793				33597769		False	3	100;0;0	8.3	False		ENSG00000132535	ENSG00000132535	HGNC:2903													
DNAJC19	gene	DNAJC19	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	3-methylglutaconic aciduria, type V				16055927;27604308;27426421;22797137;27928778		False	3	0;0;0	8.3	False		ENSG00000205981	ENSG00000205981	HGNC:30528													
DNAJC3	gene	DNAJC3	Expert Review Green;Literature;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Ataxia, combined cerebellar and peripheral, with hearing loss and diabetes mellitus, OMIM:616192				25466870;28940199;32738013;33486469;34654017		False	3	100;0;0	8.3	False		ENSG00000102580	ENSG00000102580	HGNC:9439													
DNAJC5	gene	DNAJC5	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Ceroid lipofuscinosis, neuronal, 4, Parry type				27604308;21820099		False	3	0;0;0	8.3	False		ENSG00000101152	ENSG00000101152	HGNC:16235													
DNMT1	gene	DNMT1	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Cerebellar ataxia, deafness, and narcolepsy, autosomal dominant,				31984424		False	3	0;0;0	8.3	False		ENSG00000130816	ENSG00000130816	HGNC:2976													
DOCK3	gene	DOCK3	Expert list;Expert Review Green;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Neurodevelopmental disorder with impaired intellectual development, hypotonia, and ataxia OMIM:618292;neurodevelopmental disorder with impaired intellectual development, hypotonia, and ataxia MONDO:0032661				28195318;29130632;30976111		False	3	100;0;0	8.3	False		ENSG00000088538	ENSG00000088538	HGNC:2989													
DPYSL5	gene	DPYSL5	Expert Review Green;Literature;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Neurodevelopmental disorder with corpus callosum agenesis and cerebellar abnormalities				33894126		False	3	100;0;0	8.3	False		ENSG00000157851	ENSG00000157851	HGNC:20637													
EBF3	gene	EBF3	Expert list;Expert Review Green;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Hypotonia, ataxia, and delayed development syndrome OMIM:617330;hypotonia, ataxia, and delayed development syndrome MONDO:0015021				28017373;28017372;28017370;32366537		False	3	100;0;0	8.3	False		ENSG00000108001	ENSG00000108001	HGNC:19087													
EIF2B1	gene	EIF2B1	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Childhood ataxia with central nervous system hypomyelination/vanishing white matter disease;Childhood Ataxia with Central Nervous System Hypomyelination/Vanishing White Matter						False	3	0;0;0	8.3	False		ENSG00000111361	ENSG00000111361	HGNC:3257													
EIF2B2	gene	EIF2B2	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Childhood ataxia with central nervous system hypomyelination/vanishing white matter disease;Leukoencephalopathy with vanishing white matter, 603896						False	3	0;0;0	8.3	False		ENSG00000119718	ENSG00000119718	HGNC:3258													
EIF2B3	gene	EIF2B3	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Childhood ataxia with central nervous system hypomyelination/vanishing white matter disease						False	3	0;0;0	8.3	False		ENSG00000070785	ENSG00000070785	HGNC:3259													
EIF2B4	gene	EIF2B4	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Childhood ataxia with central nervous system hypomyelination/vanishing white matter disease						False	3	0;0;0	8.3	False		ENSG00000115211	ENSG00000115211	HGNC:3260													
EIF2B5	gene	EIF2B5	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Childhood ataxia with central nervous system hypomyelination/vanishing white matter disease						False	3	0;0;0	8.3	False		ENSG00000145191	ENSG00000145191	HGNC:3261													
ELOVL4	gene	ELOVL4	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 34				24566826;26010696		False	3	0;0;0	8.3	False		ENSG00000118402	ENSG00000118402	HGNC:14415													
EPM2A	gene	EPM2A	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Myoclonic epilepsy of Lafora 1, OMIM:254780				27604308;10932264;14722920		False	3	0;0;0	8.3	False		ENSG00000112425	ENSG00000112425	HGNC:3413													
EXOSC3	gene	EXOSC3	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Pontocerebellar hypoplasia, type 1B, OMIM:614678				PMID: 24524299;PMID: 23284067;PMID: 22544365;PMID: 23564332		False	3	0;0;0	8.3	False		ENSG00000107371	ENSG00000107371	HGNC:17944													
FA2H	gene	FA2H	Expert list;Expert Review Green;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Spastic paraplegia 35, autosomal recessive OMIM:612319;hereditary spastic paraplegia 35 MONDO:0012866				31135052;31837835;30446360;22965561;21592092		False	3	100;0;0	8.3	False		ENSG00000103089	ENSG00000103089	HGNC:21197													
FBXL4	gene	FBXL4	Expert list;Expert Review Green;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Mitochondrial DNA depletion syndrome 13 (encephalomyopathic type) OMIM:615471;mitochondrial DNA depletion syndrome 13 MONDO:0014198				28383868		False	3	100;0;0	8.3	False		ENSG00000112234	ENSG00000112234	HGNC:13601													
FDXR	gene	FDXR	Expert Review Green;Literature;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Multiple mitochondrial dysfunctions syndrome 9B, OMIM:620887				37046037		False	3	100;0;0	8.3	False		ENSG00000161513	ENSG00000161513	HGNC:3642													
FEM1C	gene	FEM1C	Expert Review Green;Literature;NHS GMS	Ataxia and cerebellar anomalies - narrow panel			MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted	Ataxia, HP:0001251				36336956		False	3	100;0;0	8.3	False		ENSG00000145780	ENSG00000145780	HGNC:16933													
FGF14	gene	FGF14	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown	Spinocerebellar ataxia 27						False	3	0;0;0	8.3	False		ENSG00000102466	ENSG00000102466	HGNC:3671													
FKRP	gene	FKRP	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type				15121789		False	3	0;0;0	8.3	False		ENSG00000181027	ENSG00000181027	HGNC:17997													
FKTN	gene	FKTN	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Fukuyama Congenital Muscular Dystrophy;Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type;Fukuyama congenital muscular dystrophy				9690476;10545611		False	3	0;0;0	8.3	False		ENSG00000106692	ENSG00000106692	HGNC:3622													
FLVCR1	gene	FLVCR1	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Posterior Column Ataxia with Retinitis Pigmentosa;Ataxia, posterior column, with retinitis pigmentosa,						False	3	0;0;0	8.3	False		ENSG00000162769	ENSG00000162769	HGNC:24682													
FOLR1	gene	FOLR1	Expert Review Green	Ataxia and cerebellar anomalies - narrow panel			BIALLELIC, autosomal or pseudoautosomal	Neurodegeneration due to cerebral folate transport deficiency, 613068						False	3	0;0;0	8.3	False		ENSG00000110195	ENSG00000110195	HGNC:3791													
